Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
0,The Last Kingdom,TV Show,2015.0,History,"53,300,000",53.3
0,Full Swing,TV Show,2023.0,Documentary,"53,100,000",53.1
0,The Walking Dead,TV Show,2010.0,Horror,"53,000,000",53.0
0,Welcome to Eden,TV Show,2022.0,Science Fiction,"53,000,000",53.0
0,We Can Be Heroes,Movie,2020.0,Adventure,"52,800,000",52.8
0,Arnold,TV Show,2023.0,Documentary,"52,500,000",52.5
0,Better Call Saul,TV Show,2015.0,Crime,"52,500,000",52.5
0,The King's Affection,TV Show,2021.0,Drama,"52,400,000",52.4
0,Shameless,TV Show,2011.0,Comedy,"52,300,000",52.3
0,Missing: Dead or Alive?,TV Show,2023.0,Crime,"52,200,000",52.2
0,Bodyguard,TV Show,2018.0,Action,"52,000,000",52.0
0,The Lorax,Movie,2012.0,Animation,"52,000,000",52.0
0,1899,TV Show,2022.0,Science Fiction,"51,800,000",51.8
0,A Tourist’s Guide to Love,Movie,2023.0,Comedy,"51,800,000",51.8
0,It's Okay to Not Be Okay,TV Show,2020.0,Drama,"51,800,000",51.8
0,Vikings,TV Show,2013.0,History,"51,800,000",51.8
0,Faraway,Movie,2023.0,Comedy,"51,700,000",51.7
0,Blood & Gold,Movie,2023.0,Action,"51,600,000",51.6
0,Soy Georgina,TV Show,2022.0,Reality-Show,"51,600,000",51.6
0,The Blacklist,TV Show,2013.0,Crime,"51,600,000",51.6
0,Little Women,TV Show,2022.0,Thriller,"51,300,000",51.3
0,Grey's Anatomy,TV Show,2005.0,Drama,"51,200,000",51.2
0,The Walking Dead,TV Show,2010.0,Horror,"51,200,000",51.2
0,The Office,TV Show,2005.0,Comedy,"51,000,000",51.0
0,The Last Kingdom,TV Show,2015.0,History,"50,900,000",50.9
0,The Endless Night,TV Show,2023.0,Drama,"50,800,000",50.8
0,Faithfully Yours,Movie,2022.0,Thriller,"50,600,000",50.6
0,Masha and the Bear,TV Show,2009.0,Animation,"50,400,000",50.4
0,Masha and the Bear,TV Show,2009.0,Animation,"50,300,000",50.3
0,The Office,TV Show,2005.0,Comedy,"50,100,000",50.1
0,2 Hearts,Movie,2020.0,Romance,"50,000,000",50.0
