Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million,title,imdb_rating
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"53,600,000",53.6,brooklyn nine-nine,83
0,¡que viva méxico!,Movie,2022.0,Comedy,"53,500,000",53.5,,
0,emily in paris,TV Show,2020.0,Drama,"53,300,000",53.3,,
0,the last kingdom,TV Show,2015.0,History,"53,300,000",53.3,,
0,full swing,TV Show,2023.0,Documentary,"53,100,000",53.1,,
0,the walking dead,TV Show,2010.0,Horror,"53,000,000",53.0,,
0,welcome to eden,TV Show,2022.0,Science Fiction,"53,000,000",53.0,,
0,we can be heroes,Movie,2020.0,Adventure,"52,800,000",52.8,,
0,arnold,TV Show,2023.0,Documentary,"52,500,000",52.5,,
0,better call saul,TV Show,2015.0,Crime,"52,500,000",52.5,,
0,the king's affection,TV Show,2021.0,Drama,"52,400,000",52.4,,
0,shameless,TV Show,2011.0,Comedy,"52,300,000",52.3,shameless,87
0,shameless,TV Show,2011.0,Comedy,"52,300,000",52.3,shameless,87%
0,missing: dead or alive?,TV Show,2023.0,Crime,"52,200,000",52.2,,
0,bodyguard,TV Show,2018.0,Action,"52,000,000",52.0,,
0,the lorax,Movie,2012.0,Animation,"52,000,000",52.0,the lorax,65%
0,the lorax,Movie,2012.0,Animation,"52,000,000",52.0,the lorax,65
0,1899,TV Show,2022.0,Science Fiction,"51,800,000",51.8,,
0,a tourist’s guide to love,Movie,2023.0,Comedy,"51,800,000",51.8,,
0,it's okay to not be okay,TV Show,2020.0,Drama,"51,800,000",51.8,it's okay to not be okay,90%
0,it's okay to not be okay,TV Show,2020.0,Drama,"51,800,000",51.8,it's okay to not be okay,90
0,vikings,TV Show,2013.0,History,"51,800,000",51.8,,
0,faraway,Movie,2023.0,Comedy,"51,700,000",51.7,,
0,blood & gold,Movie,2023.0,Action,"51,600,000",51.6,,
0,soy georgina,TV Show,2022.0,Reality-Show,"51,600,000",51.6,,
0,the blacklist,TV Show,2013.0,Crime,"51,600,000",51.6,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"51,600,000",51.6,the blacklist,81
0,little women,TV Show,2022.0,Thriller,"51,300,000",51.3,,
0,grey's anatomy,TV Show,2005.0,Drama,"51,200,000",51.2,grey's anatomy,76%
0,grey's anatomy,TV Show,2005.0,Drama,"51,200,000",51.2,grey's anatomy,76
0,the walking dead,TV Show,2010.0,Horror,"51,200,000",51.2,,
0,the office,TV Show,2005.0,Comedy,"51,000,000",51.0,,
0,the last kingdom,TV Show,2015.0,History,"50,900,000",50.9,,
0,the endless night,TV Show,2023.0,Drama,"50,800,000",50.8,,
0,faithfully yours,Movie,2022.0,Thriller,"50,600,000",50.6,,
0,masha and the bear,TV Show,2009.0,Animation,"50,400,000",50.4,,
0,masha and the bear,TV Show,2009.0,Animation,"50,300,000",50.3,,
0,the office,TV Show,2005.0,Comedy,"50,100,000",50.1,,
0,2 hearts,Movie,2020.0,Romance,"50,000,000",50.0,,
0,suits,TV Show,2011.0,Drama,"50,000,000",50.0,,
0,tin & tina,Movie,2023.0,Horror,"49,700,000",49.7,,
0,the blacklist,TV Show,2013.0,Crime,"49,600,000",49.6,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"49,600,000",49.6,the blacklist,81
0,friends,TV Show,1994.0,Comedy,"49,400,000",49.4,,
0,love is blind: brazil,TV Show,2021.0,Reality-Show,"49,300,000",49.3,,
0,vinland saga,TV Show,2019.0,Animation,"49,300,000",49.3,,
0,nuevo rico nuevo pobre,TV Show,2007.0,Drama,"49,200,000",49.2,,
0,the lincoln lawyer,TV Show,2022.0,Drama,"49,200,000",49.2,,
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"48,900,000",48.9,brooklyn nine-nine,83%
